	prevalence	gene	lifestyle
4925	0.9811320754716981	gene__K02233	non-westernized
9226	1.0	gene__K02233	non-westernized
15467	0.8228571428571428	gene__K02233	non-westernized
15452	0.9701492537313433	gene__K02233	non-westernized
10115	0.8169014084507042	gene__K02233	non-westernized
10068	0.9042553191489362	gene__K02233	non-westernized
2238	0.140625	gene__K00674	westernized
2239	0.7027027027027027	gene__K00674	westernized
6173	0.9090909090909091	gene__K00674	westernized
6174	0.78125	gene__K00674	westernized
6179	0.7792207792207793	gene__K00674	westernized
6750	0.8843537414965986	gene__K00674	westernized
6847	0.7894736842105263	gene__K00674	westernized
6778	0.875	gene__K00674	westernized
6191	0.8454106280193237	gene__K00674	westernized
9273	0.7513812154696132	gene__K00674	westernized
6744	0.89937106918239	gene__K00674	westernized
6783	0.8704156479217604	gene__K00674	westernized
17231	0.9	gene__K00674	westernized
6754	0.9472817133443163	gene__K00674	westernized
17234	0.8432835820895522	gene__K00674	westernized
17249	0.7676056338028169	gene__K00674	westernized
17241	0.7405857740585774	gene__K00674	westernized
17247	0.8962264150943396	gene__K00674	westernized
17244	0.9213483146067416	gene__K00674	westernized
17237	0.8651960784313726	gene__K00674	westernized
17256	0.8639240506329114	gene__K00674	westernized
17248	0.9446153846153846	gene__K00674	westernized
2238	0.16	gene__K00674	non-westernized
2239	0.775	gene__K00674	non-westernized
6173	0.7647058823529411	gene__K00674	non-westernized
6174	0.65	gene__K00674	non-westernized
6179	0.9024390243902439	gene__K00674	non-westernized
6750	0.8260869565217391	gene__K00674	non-westernized
6847	0.9338235294117647	gene__K00674	non-westernized
6778	0.9325842696629213	gene__K00674	non-westernized
6191	0.8928571428571429	gene__K00674	non-westernized
9273	0.8211382113821138	gene__K00674	non-westernized
6744	0.9142857142857143	gene__K00674	non-westernized
6783	0.9435483870967742	gene__K00674	non-westernized
17231	0.9047619047619048	gene__K00674	non-westernized
6754	0.9130434782608695	gene__K00674	non-westernized
17234	0.9565217391304348	gene__K00674	non-westernized
17249	0.8076923076923077	gene__K00674	non-westernized
17241	0.8095238095238095	gene__K00674	non-westernized
17247	0.8181818181818182	gene__K00674	non-westernized
17244	0.9838709677419355	gene__K00674	non-westernized
17237	0.8596491228070176	gene__K00674	non-westernized
17256	0.9090909090909091	gene__K00674	non-westernized
17248	0.9354838709677419	gene__K00674	non-westernized
4053	0.8064516129032258	gene__K07009	westernized
3957	0.6867469879518072	gene__K07009	westernized
5116	0.9428571428571428	gene__K07009	westernized
4198	0.9838056680161943	gene__K07009	westernized
5118	0.8385964912280702	gene__K07009	westernized
8021	0.8369565217391305	gene__K07009	westernized
8018	0.7555555555555555	gene__K07009	westernized
7968	0.9318181818181818	gene__K07009	westernized
14397	0.9583333333333334	gene__K07009	westernized
6806	0.7541666666666667	gene__K07009	westernized
14370	0.9117647058823529	gene__K07009	westernized
5111	0.9836552748885586	gene__K07009	westernized
6796	0.8859315589353612	gene__K07009	westernized
5117	0.8892261001517451	gene__K07009	westernized
8007	0.6928406466512702	gene__K07009	westernized
4053	0.9318181818181818	gene__K07009	non-westernized
3957	0.8691099476439791	gene__K07009	non-westernized
5116	0.8695652173913043	gene__K07009	non-westernized
4198	0.9782608695652174	gene__K07009	non-westernized
5118	0.8518518518518519	gene__K07009	non-westernized
8021	0.76	gene__K07009	non-westernized
8018	0.95	gene__K07009	non-westernized
7968	0.8571428571428571	gene__K07009	non-westernized
14397	1.0	gene__K07009	non-westernized
6806	0.8292682926829268	gene__K07009	non-westernized
14370	0.9444444444444444	gene__K07009	non-westernized
5111	1.0	gene__K07009	non-westernized
6796	0.8888888888888888	gene__K07009	non-westernized
5117	0.8666666666666667	gene__K07009	non-westernized
8007	0.7534246575342466	gene__K07009	non-westernized
2325	0.8581560283687943	gene__K03271	westernized
3677	0.927710843373494	gene__K03271	westernized
5769	0.21621621621621623	gene__K03271	westernized
5967	0.6976744186046512	gene__K03271	westernized
5858	0.919047619047619	gene__K03271	westernized
9243	0.875	gene__K03271	westernized
5809	0.9295774647887324	gene__K03271	westernized
9274	0.78125	gene__K03271	westernized
5765	0.3162878787878788	gene__K03271	westernized
9273	0.856353591160221	gene__K03271	westernized
9286	0.9382022471910112	gene__K03271	westernized
9283	0.9476082004555809	gene__K03271	westernized
9226	0.9957325746799431	gene__K03271	westernized
15467	0.4700854700854701	gene__K03271	westernized
15452	0.7811059907834101	gene__K03271	westernized
10115	0.9331619537275064	gene__K03271	westernized
10068	0.9735006973500697	gene__K03271	westernized
2325	0.8	gene__K03271	non-westernized
3677	0.9384359400998337	gene__K03271	non-westernized
5769	0.15	gene__K03271	non-westernized
5967	0.75	gene__K03271	non-westernized
5858	0.8867924528301887	gene__K03271	non-westernized
9243	0.8275862068965517	gene__K03271	non-westernized
5809	0.9630484988452656	gene__K03271	non-westernized
9274	0.8402777777777778	gene__K03271	non-westernized
5765	0.5145631067961165	gene__K03271	non-westernized
9273	0.8943089430894309	gene__K03271	non-westernized
9286	0.9444444444444444	gene__K03271	non-westernized
9283	0.9354838709677419	gene__K03271	non-westernized
